"Position (bp)"	"seq | C1_1"	"seq | C1_2"	"seq | C2_1"	"seq | C2_2"	"seq | C3_1"	"seq | C3_2"	"seq | C4_1"	"seq | C4_2"	"seq | C5_1"	"seq | C5_2"	"seq | C6_1"	"seq | C6_2"	"seq | N1_1"	"seq | N1_2"	"seq | N2_1"	"seq | N2_2"	"seq | N3_1"	"seq | N3_2"	"seq | N4_1"	"seq | N4_2"	"seq | N5_1"	"seq | N5_2"	"seq | N6_1"	"seq | N6_2"
1	32.103026666666665	30.930253333333333	25.77296	31.25652	31.28902666666667	26.058893333333334	31.91544	29.770333333333333	29.784386666666666	32.105266666666665	32.12486666666667	31.048426666666668	31.906826666666667	29.440973333333332	31.19712	25.367906666666666	32.02228	30.237053333333332	32.59784	31.661053333333335	32.03732	30.75224	32.523066666666665	31.641
2	32.24802666666667	31.074893333333332	25.8886	31.382093333333334	31.41528	26.212933333333332	32.06748	29.91461333333333	29.926413333333333	32.25389333333333	32.26262666666667	31.211266666666667	32.056693333333335	29.609893333333332	31.317426666666666	25.474746666666668	32.14772	30.390426666666666	32.73526666666667	31.818733333333334	32.20173333333334	30.9144	32.660266666666665	31.765733333333333
3	32.32128	31.110866666666666	25.937373333333333	31.48806666666667	31.536733333333334	26.232586666666666	32.172133333333335	29.946173333333334	29.955573333333334	32.356093333333334	32.37810666666667	31.264986666666665	32.15830666666667	29.65008	31.401426666666666	25.495706666666667	32.23884	30.41952	32.81456	31.85518666666667	32.31314666666667	30.957786666666667	32.75297333333334	31.807733333333335
4	35.87456	34.60762666666667	28.762786666666667	35.07198666666667	35.10466666666667	29.100253333333335	35.68452	33.27016	33.28273333333333	35.88597333333333	35.93672	34.727653333333336	35.71241333333333	32.91716	34.963026666666664	28.337306666666667	35.798746666666666	33.837453333333336	36.25144	35.256746666666665	35.83088	34.41416	36.223866666666666	35.25441333333333
5	35.68326666666667	34.55681333333333	28.7048	34.80585333333333	34.83942666666667	29.017133333333334	35.52881333333333	33.222546666666666	33.204773333333335	35.72996	35.80110666666667	34.68756	35.52248	32.875053333333334	34.65533333333333	28.210213333333332	35.61412	33.7762	36.14205333333334	35.22174666666667	35.692386666666664	34.33928	36.093693333333334	35.208346666666664
6	35.666	34.61484	28.672706666666667	34.76376	34.814773333333335	29.05824	35.529226666666666	33.22098666666667	33.241413333333334	35.732533333333336	35.771586666666664	34.721666666666664	35.50381333333333	32.89048	34.61965333333333	28.215386666666667	35.574306666666665	33.80562666666667	36.121293333333334	35.243426666666664	35.674213333333334	34.334293333333335	36.06116	35.24644
7	35.65398666666667	34.588053333333335	28.632106666666665	34.70848	34.723546666666664	29.0034	35.48582666666667	33.21494666666667	33.19468	35.69038666666667	35.74601333333333	34.72101333333333	35.45532	32.869946666666664	34.558933333333336	28.170706666666668	35.543173333333336	33.766533333333335	36.102306666666664	35.23332	35.65262666666667	34.30605333333333	36.04398666666667	35.23392
8	35.61982666666667	34.57892	28.607613333333333	34.67858666666667	34.732773333333334	28.969386666666665	35.461693333333336	33.214306666666666	33.190106666666665	35.677973333333334	35.691	34.699306666666665	35.44672	32.878346666666665	34.52192	28.147906666666668	35.5442	33.74129333333333	36.07537333333333	35.21330666666667	35.616973333333334	34.29702666666667	36.021773333333336	35.213213333333336
9	37.23572	36.12173333333333	29.779893333333334	36.1524	36.175066666666666	30.1638	37.04256	34.65249333333333	34.681853333333336	37.312293333333336	37.32988	36.29252	37.012906666666666	34.29932	35.96936	29.266106666666666	37.13168	35.23545333333333	37.80968	36.91892	37.24113333333333	35.83472	37.73342666666667	36.88522666666667
10	37.218500000000006	36.15304666666667	29.749593333333333	36.12808	36.14199333333333	30.163653333333333	37.05030666666667	34.69357333333333	34.721806666666666	37.26913333333333	37.32351333333333	36.31333333333333	37.00986	34.31152	35.92438666666666	29.271033333333335	37.090133333333334	35.30703333333334	37.78688666666667	36.95424666666666	37.220213333333334	35.85444	37.73818	36.90062
12	37.229126666666666	36.201899999999995	29.723260000000003	36.076166666666666	36.13708666666666	30.136026666666666	37.03525333333333	34.71434666666667	34.72215333333333	37.277813333333334	37.313833333333335	36.34932666666667	36.98811333333333	34.339600000000004	35.909153333333336	29.281773333333334	37.10908	35.340073333333336	37.78778666666667	36.98726	37.20240666666666	35.887973333333335	37.73604	36.95506666666667
14	38.52172	37.457433333333334	30.595233333333333	37.19596666666666	37.24568	31.065726666666666	38.27577333333333	35.89013333333334	35.94644666666667	38.590106666666664	38.59451333333334	37.61384666666667	38.251466666666666	35.50552666666667	36.70722	30.10834	38.31527333333334	36.5163	39.22934666666667	38.36837333333334	38.469453333333334	37.13152	39.13698666666667	38.30675333333333
16	38.46292	37.45747333333333	30.516213333333333	37.14028666666667	37.23549333333334	30.990466666666666	38.253906666666666	35.845780000000005	35.910086666666665	38.593779999999995	38.592	37.58316	38.24777333333333	35.471106666666664	36.68651333333333	30.0398	38.2992	36.50289333333333	39.22511333333333	38.34573333333333	38.44152666666666	37.06627333333333	39.121233333333336	38.284686666666666
18	38.508833333333335	37.42122666666667	30.41997333333333	37.09619333333333	37.190506666666664	30.922153333333334	38.29522	35.791160000000005	35.90363333333333	38.61132	38.60538666666666	37.55244666666667	38.21783333333333	35.4364	36.858666666666664	29.942506666666667	38.28976	36.44698666666667	39.24534666666666	38.30712	38.469719999999995	37.051559999999995	39.13532	38.251693333333336
20	38.54798	37.40139333333333	30.316106666666666	37.07636	37.19946	30.881633333333333	38.3057	35.7629	35.88354666666667	38.657039999999995	38.62929333333334	37.565146666666664	38.248113333333336	35.42888666666667	36.871853333333334	29.835986666666663	38.35284	36.42166666666667	39.25035333333334	38.293306666666666	38.48167333333333	37.00091333333333	39.13598	38.22982666666667
22	38.50181333333333	37.341539999999995	30.20034666666667	36.90318	37.09894666666666	30.759439999999998	38.18877333333333	35.674800000000005	35.83158666666667	38.571506666666664	38.57144666666667	37.49294666666667	38.177566666666664	35.3401	36.763279999999995	29.73717333333333	38.288439999999994	36.352806666666666	39.178693333333335	38.228586666666665	38.372233333333334	36.902033333333335	39.04150666666666	38.150733333333335
24	38.44184	37.26273333333333	30.003686666666667	36.76902	36.96206	30.638926666666666	38.09109333333333	35.515433333333334	35.70483333333333	38.52678	38.52771333333334	37.40679333333333	38.08100666666667	35.206500000000005	36.611473333333336	29.558573333333335	38.190799999999996	36.23751333333333	39.126940000000005	38.13451333333333	38.31326	36.75927333333334	38.97582666666666	38.041273333333336
26	38.28706	37.103880000000004	29.770273333333336	36.22511333333333	36.445	30.427373333333335	37.85102666666667	35.385373333333334	35.62584	38.367473333333336	38.39581333333334	37.27984666666667	37.83309333333333	35.03243333333333	36.00355333333333	29.340426666666666	37.97112666666666	36.05688666666667	39.01967333333333	38.01497333333333	38.110960000000006	36.58757333333334	38.82176666666666	37.87408
28	38.12458	36.975593333333336	29.52734	35.07421333333333	35.342	30.257453333333334	37.50472	35.23225333333333	35.47087333333333	38.18980666666667	38.21391333333334	37.17753999999999	37.38431333333333	34.89596	34.414073333333334	29.098866666666666	37.722833333333334	35.893406666666664	38.864279999999994	37.862233333333336	37.916560000000004	36.41508	38.668459999999996	37.724779999999996
30	37.89291333333333	36.948966666666664	29.33526666666667	32.84147333333333	33.08983333333333	30.119773333333335	36.74575333333333	35.12860666666667	35.44513333333333	37.968986666666666	38.00872666666666	37.106613333333335	36.539613333333335	34.86999333333333	31.86264	29.011426666666665	37.32610666666667	35.839013333333334	38.64336	37.84430666666667	37.62622666666667	36.33044666666667	38.46704666666667	37.663826666666665
32	37.828026666666666	36.885373333333334	29.1729	33.330960000000005	33.67599333333334	30.004173333333334	36.80188	35.01143333333333	35.35098	37.96214666666667	37.96078	37.03517333333333	36.67814	34.75251333333333	32.10560666666667	28.850473333333333	37.25727333333333	35.72702666666666	38.593486666666664	37.78633333333333	37.55818666666667	36.19882	38.36530666666667	37.56842666666667
34	37.773473333333335	36.848780000000005	29.01643333333333	33.79554666666667	34.26524	29.93143333333333	36.84843333333333	34.9751	35.32503333333334	37.91157333333334	37.90129333333333	36.9978	36.80458	34.684826666666666	32.461713333333336	28.731086666666666	37.173366666666666	35.64184	38.507893333333335	37.74524666666667	37.42814	36.127426666666665	38.228786666666664	37.50329333333333
36	37.67091333333333	36.82528666666667	28.80442	33.6485	34.22607333333333	29.82537333333333	36.80208666666667	34.89264	35.285046666666666	37.727959999999996	37.78888666666667	36.93000666666667	36.702306666666665	34.5831	32.38878666666666	28.614353333333334	36.980306666666664	35.56733333333333	38.41836666666667	37.6565	37.26878	36.01002	38.10601333333334	37.385106666666665
38	37.66581333333333	36.75235333333333	28.55922	32.96934	33.71712666666667	29.690426666666667	36.58146	34.76721333333333	35.22571333333333	37.677906666666665	37.78338	36.86626	36.52393333333333	34.474046666666666	31.831319999999998	28.443426666666667	36.93007333333333	35.456720000000004	38.380786666666665	37.54824666666667	37.140240000000006	35.875566666666664	38.04783333333333	37.26080666666667
40	37.77868	36.71316	28.33190666666667	33.08526	33.92201333333333	29.54428	36.624606666666665	34.62136666666667	35.19090666666666	37.673199999999994	37.88436	36.77717333333333	36.66379333333333	34.398466666666664	32.43754666666666	28.268853333333333	37.01664666666667	35.33776666666667	38.44296666666666	37.47082	37.093086666666665	35.730940000000004	38.06939333333333	37.11569333333334
42	37.740853333333334	36.8771	28.35112	33.37543333333333	34.27715333333333	29.629853333333333	36.63186	34.68700666666666	35.30247333333334	37.720240000000004	37.82429333333333	36.97698	36.69209333333333	34.52020666666667	33.12340666666667	28.28662	36.96264	35.44085333333334	38.36043333333333	37.61225333333333	37.01842	35.801073333333335	37.942366666666665	37.21678
44	37.6701	36.82228666666667	28.149099999999997	33.541273333333336	34.462833333333336	29.555419999999998	36.513513333333336	34.546753333333335	35.222366666666666	37.68427333333334	37.77244	36.92724	36.69569333333333	34.44062666666667	33.464726666666664	28.126573333333333	36.85879333333334	35.317233333333334	38.2535	37.47828666666666	36.80560666666666	35.63544	37.78784	37.03328666666667
46	37.571560000000005	36.3468	27.58716666666667	33.370333333333335	34.39172666666667	29.06655333333333	36.339846666666666	34.047380000000004	34.805393333333335	37.45934666666667	37.67091333333333	36.50498	36.5632	33.931353333333334	33.41623333333334	27.540386666666667	36.67555333333333	34.754466666666666	38.10184	37.02996666666667	36.594273333333334	35.08106666666667	37.601079999999996	36.52480666666666
48	37.46362	36.17286	27.29646	33.15071333333333	34.24239333333333	28.831233333333333	36.19478666666667	33.72000666666666	34.550153333333334	37.42466	37.530280000000005	36.30898666666667	36.38896	33.707213333333335	33.161766666666665	27.26508666666667	36.4834	34.488393333333335	37.91736	36.78634	36.441386666666666	34.713620000000006	37.367486666666665	36.24046
50	37.326386666666664	35.159733333333335	26.4343	32.87918	34.03047333333333	28.04275333333333	35.94596666666666	32.778306666666666	33.68768	37.30586666666667	37.384793333333334	35.31428666666667	36.21139333333333	32.74784666666667	32.90600666666667	26.37338	36.245580000000004	33.41498	37.72712666666666	35.76014	36.176406666666665	33.742886666666664	37.15222	35.15664666666667
52	37.10546666666667	35.217353333333335	26.369373333333332	31.128586666666667	32.26690666666667	28.0118	35.31708666666667	32.77619333333334	33.73028666666667	36.95583333333333	37.16611333333333	35.33433333333333	35.51437333333333	32.7398	31.449393333333333	26.308746666666664	35.90064666666667	33.394859999999994	37.46315333333334	35.76238	35.84144	33.72472666666667	36.86643333333333	35.126400000000004
54	36.85408666666667	35.72564666666666	26.687026666666668	30.10134	31.273426666666666	28.404513333333334	34.7813	33.13312666666667	34.14521333333333	36.661273333333334	36.955106666666666	35.811706666666666	35.00725333333334	33.17106666666667	30.262973333333335	26.659053333333333	35.555553333333336	33.849266666666665	37.14556	36.17893333333333	35.452333333333335	34.072253333333336	36.52384	35.53143333333333
56	36.703653333333335	35.71460666666667	26.612466666666666	30.371206666666666	31.587353333333333	28.355433333333334	34.64448	33.05242	34.10798666666667	36.56442666666666	36.77374666666667	35.79087333333334	34.974606666666666	33.10973333333334	30.41894	26.60688	35.37840666666666	33.77990666666667	36.929253333333335	36.081046666666666	35.21680666666667	33.963346666666666	36.28484	35.42830666666667
58	36.778153333333336	35.602466666666665	26.488373333333335	30.988013333333335	32.195359999999994	28.221413333333334	34.825779999999995	32.80455333333333	33.877520000000004	36.57498666666666	36.87014	35.607780000000005	35.243520000000004	32.9501	31.017400000000002	26.474386666666668	35.481139999999996	33.60095333333334	36.95926	35.87984	35.29746	33.69582	36.32188666666667	35.215379999999996
60	36.62604666666667	35.453113333333334	26.346339999999998	30.565313333333332	31.748786666666668	28.116333333333333	34.700720000000004	32.63742	33.73538	36.386606666666665	36.67486666666667	35.42842	34.95501333333333	32.76566	30.76244666666667	26.327833333333334	35.302593333333334	33.42116	36.78716	35.64203333333333	35.138279999999995	33.52150666666667	36.1284	34.98310666666667
62	36.35262	35.26574	26.195973333333335	29.938973333333337	31.115299999999998	27.97082	34.237246666666664	32.46105333333333	33.61237333333334	36.096873333333335	36.41459333333333	35.19824666666666	34.57718	32.58552	29.507306666666665	26.159793333333333	34.95061333333334	33.21602	36.47738	35.41635333333333	34.834900000000005	33.33235333333333	35.83551333333334	34.73426666666667
64	36.10843333333334	35.06096666666667	25.99788	29.642486666666667	30.885093333333334	27.80885333333333	33.87072666666667	32.212379999999996	33.418099999999995	35.678	36.120266666666666	34.93688	34.32606666666666	32.34415333333334	29.274	25.979266666666668	34.68557333333334	32.983959999999996	36.170766666666665	35.14689333333334	34.5236	33.081253333333336	35.56676	34.47251333333333
66	35.941159999999996	34.93954	25.8888	30.062733333333334	31.321126666666665	27.72626	33.73952666666667	32.08359333333333	33.24896666666667	35.36291333333334	35.85610666666666	34.7384	34.24471333333334	32.21076	29.887573333333336	25.871319999999997	34.51644	32.860380000000006	35.93437333333333	34.94254	34.18562	32.930013333333335	35.33448666666666	34.30101333333333
68	35.69706666666667	34.843199999999996	25.89978	30.2461	31.58588	27.684446666666666	33.63747333333333	32.00653333333334	33.11352	35.03920666666667	35.52094666666667	34.597053333333335	34.17126666666667	32.095726666666664	30.18096	25.873773333333332	34.275306666666665	32.78107333333333	35.67915333333333	34.79694	33.99392666666667	32.86498666666667	35.0956	34.21253333333333
70	35.42877333333333	34.58415333333333	25.74626	29.864586666666668	31.32192	27.50575333333333	33.39086	31.768986666666667	32.86474666666666	34.49598	35.16057333333333	34.2661	33.87477333333334	31.823686666666667	30.01304	25.707613333333335	33.99771333333334	32.53359333333333	35.39631333333334	34.49673333333333	33.76019333333333	32.588620000000006	34.830106666666666	33.97550666666667
72	35.146793333333335	34.29678	25.55186666666667	29.523153333333333	31.00854	27.307246666666664	33.138286666666666	31.49384	32.61776666666667	34.170033333333336	34.80958666666667	33.897126666666665	33.47816666666667	31.55348	29.702446666666667	25.49156	33.66865333333334	32.23395333333333	35.08208666666667	34.21199333333333	33.50499333333333	32.32727333333333	34.54628666666667	33.69658666666667
74	34.839333333333336	33.98810666666667	25.329306666666668	29.247419999999998	30.735686666666666	27.073586666666667	32.79758666666667	31.2404	32.34954666666667	33.81630666666667	34.43307333333333	33.53817333333333	33.13683333333333	31.27108666666667	29.37348	25.24726	33.360326666666666	31.96752	34.73204	33.90862	33.17260666666667	32.05148	34.27000666666667	33.41496
76	33.352986666666666	33.66769333333333	25.10346	27.948113333333332	29.41352	26.811033333333334	31.549946666666663	30.97232	32.0537	32.566379999999995	33.10762	33.16318666666666	31.811313333333334	30.97815333333333	27.97916	25.004886666666664	31.92892666666667	31.649320000000003	33.448933333333336	33.61386	31.922946666666665	31.756500000000003	32.99297333333334	33.14872
78	34.06725333333333	33.35329333333333	24.87560666666667	27.186986666666666	28.49268	26.540860000000002	31.96152	30.674366666666664	31.74936	33.21337333333334	33.63847333333334	32.8212	31.91036666666667	30.678919999999998	27.298113333333333	24.755826666666668	32.54842	31.348246666666668	34.04582	33.329386666666664	32.554473333333334	31.46107333333333	33.65133333333333	32.87362
80	33.98849333333334	33.02543333333333	24.653959999999998	27.19699333333333	28.501533333333334	26.28998	31.845306666666666	30.423773333333333	31.48824666666667	33.12121333333333	33.54716	32.531953333333334	31.884386666666664	30.398546666666668	27.085053333333335	24.51674	32.517619999999994	31.06012	33.986626666666666	33.05965333333333	32.5066	31.215926666666668	33.61892666666667	32.62868
82	33.80962666666667	32.718320000000006	24.427913333333333	27.304093333333334	28.59834	26.055753333333335	31.817173333333336	30.178040000000003	31.21407333333333	32.92800666666667	33.3332	32.24664	31.793973333333334	30.11918	27.39678	24.306686666666664	32.39762666666667	30.807013333333334	33.80836666666667	32.79448666666667	32.37887333333333	30.9849	33.48641333333333	32.396746666666665
84	33.53180666666667	32.371606666666665	24.175306666666664	27.003059999999998	28.26584666666667	25.79497333333333	31.538420000000002	29.903153333333336	30.913013333333332	32.64305333333333	33.09434666666667	31.96718	31.560346666666668	29.83836	27.12529333333333	24.00808	32.18006666666667	30.52782	33.61843333333333	32.57385333333333	32.16470666666667	30.69254	33.315933333333334	32.18245333333333
86	33.12659333333333	32.15275333333334	24.019553333333334	26.15538	27.358420000000002	25.637326666666667	31.045786666666668	29.755966666666666	30.719673333333333	32.35628	32.79582666666667	31.779186666666668	31.078546666666668	29.664273333333334	26.079993333333334	23.839166666666667	31.804413333333333	30.34482	33.325653333333335	32.40045333333333	31.908766666666665	30.558799999999998	33.016866666666665	32.050133333333335
88	32.845753333333334	31.941986666666665	23.82748	25.85559333333333	27.043039999999998	25.433646666666668	30.777966666666664	29.60028666666667	30.546633333333332	32.10687333333333	32.55715333333333	31.62108	30.815806666666667	29.466933333333333	25.7036	23.65972	31.540073333333332	30.1436	33.09350666666667	32.24431333333334	31.70662	30.434146666666663	32.78804	31.8857
90	32.669313333333335	31.723906666666664	23.592906666666664	25.692846666666668	26.867553333333333	25.2273	30.651386666666667	29.41142	30.339013333333334	31.886766666666666	32.445393333333335	31.459366666666668	30.62846	29.279046666666666	25.681313333333335	23.460140000000003	31.402433333333335	29.974973333333335	32.986019999999996	32.09095333333333	31.522153333333335	30.273066666666665	32.70394	31.71432
92	32.521919999999994	31.516673333333333	23.383946666666667	25.605046666666667	26.783706666666667	25.019286666666666	30.537713333333333	29.219920000000002	30.13138	31.757693333333332	32.337086666666664	31.286093333333334	30.498820000000002	29.088933333333333	25.749106666666666	23.236446666666666	31.288866666666664	29.788566666666668	32.858019999999996	31.927333333333333	31.389646666666668	30.106160000000003	32.55294	31.559373333333333
94	32.315646666666666	31.298853333333334	23.14286	25.46438	26.67784	24.82288666666667	30.44643333333333	29.028146666666665	29.94242	31.596113333333335	32.171899999999994	31.160706666666666	30.352186666666668	28.89748	25.720053333333333	22.992253333333334	31.109073333333335	29.59301333333333	32.71664666666667	31.802893333333333	31.247613333333334	29.899859999999997	32.418353333333336	31.40634
96	32.05744	31.06630666666667	22.848300000000002	25.163126666666667	26.4274	24.570786666666667	30.1815	28.764493333333334	29.69	31.389780000000002	31.945639999999997	30.96186	30.10334	28.6792	25.420299999999997	22.728626666666667	30.83757333333333	29.332246666666666	32.589486666666666	31.61582	31.002386666666666	29.659013333333334	32.25364666666667	31.173033333333333
98	31.765406666666667	30.71590666666667	22.4326	24.78541333333333	26.075313333333334	24.181106666666665	29.788226666666667	28.416693333333335	29.41834	31.02156	31.669153333333334	30.64120666666667	29.795646666666666	28.345753333333334	25.028	22.336446666666667	30.503566666666664	28.988833333333332	32.31786666666667	31.373193333333333	30.595946666666666	29.306726666666666	31.929746666666666	30.878193333333336
100	30.807453333333335	29.51795333333333	21.2232	23.676540000000003	25.047546666666666	23.096426666666666	28.77820666666667	27.188206666666666	28.318886666666664	30.094706666666667	30.669446666666666	29.4029	28.8086	27.175226666666667	23.95566	21.1734	29.432406666666665	27.693493333333333	31.3874	30.225526666666667	29.49564	27.97911333333333	30.9011	29.628306666666667